YEAR,NAME,VARIABLE,VALUE
2023,Franklin,POPEST,1326063.0
2010,Hocking,POPEST,29478.0
2011,Hocking,POPEST,29466.0
2012,Hocking,POPEST,29304.0
2013,Hocking,POPEST,28653.0
2014,Hocking,POPEST,28743.0
2015,Hocking,POPEST,28500.0
2016,Hocking,POPEST,28393.0
2017,Hocking,POPEST,28436.0
2018,Hocking,POPEST,28357.0
2019,Hocking,POPEST,28264.0
2020,Hocking,POPEST,28040.0
2021,Hocking,POPEST,28101.0
2022,Hocking,POPEST,27818.0
2023,Hocking,POPEST,27540.0
2010,Knox,POPEST,61090.0
2011,Knox,POPEST,61283.0
2012,Knox,POPEST,60764.0
2013,Knox,POPEST,60858.0
2014,Knox,POPEST,61000.0
2015,Knox,POPEST,61001.0
2016,Knox,POPEST,60909.0
2017,Knox,POPEST,61271.0
2018,Knox,POPEST,61900.0
2019,Knox,POPEST,62322.0
2020,Knox,POPEST,62803.0
2021,Knox,POPEST,62543.0
2022,Knox,POPEST,63196.0
2023,Knox,POPEST,63320.0
2010,Licking,POPEST,166705.0
2011,Licking,POPEST,167164.0
2012,Licking,POPEST,167589.0
2013,Licking,POPEST,168461.0
2014,Licking,POPEST,169410.0
2015,Licking,POPEST,170611.0
2016,Licking,POPEST,171993.0
2017,Licking,POPEST,173617.0
2018,Licking,POPEST,175666.0
2019,Licking,POPEST,176862.0
2020,Licking,POPEST,178784.0
2021,Licking,POPEST,180021.0
2022,Licking,POPEST,181765.0
2023,Licking,POPEST,183201.0
2010,Logan,POPEST,45743.0
2011,Logan,POPEST,45623.0
2012,Logan,POPEST,45410.0
2013,Logan,POPEST,45393.0
2014,Logan,POPEST,45473.0
2015,Logan,POPEST,45250.0
2016,Logan,POPEST,45128.0
2017,Logan,POPEST,45198.0
2018,Logan,POPEST,45332.0
2019,Logan,POPEST,45672.0
2020,Logan,POPEST,46116.0
2021,Logan,POPEST,46158.0
2022,Logan,POPEST,46062.0
2023,Logan,POPEST,46057.0
2010,Madison,POPEST,43434.0
2011,Madison,POPEST,43114.0
2012,Madison,POPEST,42991.0
2013,Madison,POPEST,43256.0
2014,Madison,POPEST,43980.0
2015,Madison,POPEST,44139.0
2016,Madison,POPEST,43377.0
2017,Madison,POPEST,44041.0
2018,Madison,POPEST,44389.0
2019,Madison,POPEST,44731.0
2020,Madison,POPEST,43849.0
2021,Madison,POPEST,44428.0
2022,Madison,POPEST,43581.0
2023,Madison,POPEST,44602.0
2010,Marion,POPEST,66458.0
2011,Marion,POPEST,66599.0
2012,Marion,POPEST,66277.0
2013,Marion,POPEST,65964.0
2014,Marion,POPEST,65791.0
2015,Marion,POPEST,65431.0
2016,Marion,POPEST,65467.0
2017,Marion,POPEST,65076.0
2018,Marion,POPEST,65427.0
2019,Marion,POPEST,65093.0
2020,Marion,POPEST,65388.0
2021,Marion,POPEST,65310.0
2022,Marion,POPEST,64609.0
2023,Marion,POPEST,64851.0
2010,Morrow,POPEST,34790.0
2011,Morrow,POPEST,34810.0
2012,Morrow,POPEST,34834.0
2013,Morrow,POPEST,34846.0
2014,Morrow,POPEST,34937.0
2015,Morrow,POPEST,34943.0
2016,Morrow,POPEST,34922.0
2017,Morrow,POPEST,34911.0
2018,Morrow,POPEST,35113.0
2019,Morrow,POPEST,35328.0
2020,Morrow,POPEST,34980.0
2021,Morrow,POPEST,35205.0
2022,Morrow,POPEST,35336.0
2023,Morrow,POPEST,35595.0
2010,Perry,POPEST,36037.0
2011,Perry,POPEST,36232.0
2012,Perry,POPEST,35984.0
2013,Perry,POPEST,36000.0
2014,Perry,POPEST,35926.0
2015,Perry,POPEST,35967.0
2016,Perry,POPEST,35998.0
2017,Perry,POPEST,35972.0
2018,Perry,POPEST,36039.0
2019,Perry,POPEST,36134.0
2020,Perry,POPEST,35446.0
2021,Perry,POPEST,35464.0
2022,Perry,POPEST,35471.0
2023,Perry,POPEST,35551.0
2010,Pickaway,POPEST,55740.0
2011,Pickaway,POPEST,55948.0
2012,Pickaway,POPEST,56237.0
2013,Pickaway,POPEST,56355.0
2014,Pickaway,POPEST,56704.0
2015,Pickaway,POPEST,56989.0
2016,Pickaway,POPEST,57545.0
2017,Pickaway,POPEST,57740.0
2018,Pickaway,POPEST,58077.0
2019,Pickaway,POPEST,58457.0
2020,Pickaway,POPEST,58656.0
2021,Pickaway,POPEST,58765.0
2022,Pickaway,POPEST,60007.0
2023,Pickaway,POPEST,61086.0
2010,Ross,POPEST,78098.0
2011,Ross,POPEST,77581.0
2012,Ross,POPEST,77341.0
2013,Ross,POPEST,77283.0
2014,Ross,POPEST,77095.0
2015,Ross,POPEST,77049.0
2016,Ross,POPEST,76848.0
2017,Ross,POPEST,77295.0
2018,Ross,POPEST,76884.0
2019,Ross,POPEST,76666.0
2020,Ross,POPEST,77049.0
2021,Ross,POPEST,76500.0
2022,Ross,POPEST,76508.0
2023,Ross,POPEST,76501.0
2010,Union,POPEST,52464.0
2011,Union,POPEST,53095.0
2012,Union,POPEST,52796.0
2013,Union,POPEST,53436.0
2014,Union,POPEST,53773.0
2015,Union,POPEST,54388.0
2016,Union,POPEST,55581.0
2017,Union,POPEST,56798.0
2018,Union,POPEST,57782.0
2019,Union,POPEST,58988.0
2020,Union,POPEST,63085.0
2021,Union,POPEST,65106.0
2022,Union,POPEST,66876.0
2023,Union,POPEST,69637.0
2010,15-County Region,NATINC,12837.0
2011,15-County Region,NATINC,12638.0
2012,15-County Region,NATINC,12393.0
2013,15-County Region,NATINC,13031.0
2014,15-County Region,NATINC,12772.0
2015,15-County Region,NATINC,11886.0
2016,15-County Region,NATINC,11671.0
2017,15-County Region,NATINC,10595.0
2018,15-County Region,NATINC,9961.0
2019,15-County Region,NATINC,9708.0
2020,15-County Region,NATINC,5221.0
2021,15-County Region,NATINC,4721.0
2022,15-County Region,NATINC,5982.0
2023,15-County Region,NATINC,6854.0
2010,Delaware,NATINC,1267.0
2011,Delaware,NATINC,1189.0
2012,Delaware,NATINC,1095.0
2013,Delaware,NATINC,1205.0
2014,Delaware,NATINC,1182.0
2015,Delaware,NATINC,1162.0
2016,Delaware,NATINC,980.0
2017,Delaware,NATINC,955.0
2018,Delaware,NATINC,891.0
2019,Delaware,NATINC,868.0
2020,Delaware,NATINC,539.0
2021,Delaware,NATINC,676.0
2022,Delaware,NATINC,648.0
2023,Delaware,NATINC,562.0
2010,Fairfield,NATINC,518.0
2011,Fairfield,NATINC,544.0
2012,Fairfield,NATINC,455.0
2013,Fairfield,NATINC,559.0
2014,Fairfield,NATINC,407.0
2015,Fairfield,NATINC,433.0
2016,Fairfield,NATINC,364.0
2017,Fairfield,NATINC,424.0
2018,Fairfield,NATINC,236.0
2019,Fairfield,NATINC,303.0
2020,Fairfield,NATINC,-42.0
2021,Fairfield,NATINC,-89.0
2022,Fairfield,NATINC,46.0
2023,Fairfield,NATINC,164.0
2010,Fayette,NATINC,6.0
2011,Fayette,NATINC,12.0
2012,Fayette,NATINC,37.0
2013,Fayette,NATINC,1.0
2014,Fayette,NATINC,-25.0
2015,Fayette,NATINC,-7.0
2016,Fayette,NATINC,-29.0
2017,Fayette,NATINC,-105.0
2018,Fayette,NATINC,13.0
2019,Fayette,NATINC,-86.0
2020,Fayette,NATINC,-58.0
2021,Fayette,NATINC,-122.0
2022,Fayette,NATINC,-69.0
2023,Fayette,NATINC,-105.0
2010,Franklin,NATINC,9417.0
2011,Franklin,NATINC,9471.0
2012,Franklin,NATINC,9598.0
2013,Franklin,NATINC,9890.0
2014,Franklin,NATINC,9867.0
2015,Franklin,NATINC,9428.0
2016,Franklin,NATINC,9456.0
2017,Franklin,NATINC,8765.0
2018,Franklin,NATINC,8095.0
2019,Franklin,NATINC,8188.0
2020,Franklin,NATINC,5619.0
2021,Franklin,NATINC,5498.0
2022,Franklin,NATINC,6180.0
2023,Franklin,NATINC,6387.0
2010,Hocking,NATINC,54.0
2011,Hocking,NATINC,-10.0
2012,Hocking,NATINC,10.0
2013,Hocking,NATINC,7.0
2014,Hocking,NATINC,-4.0
2015,Hocking,NATINC,60.0
2016,Hocking,NATINC,-4.0
2017,Hocking,NATINC,-20.0
2018,Hocking,NATINC,-74.0
2019,Hocking,NATINC,-32.0
2020,Hocking,NATINC,-105.0
2021,Hocking,NATINC,-165.0
2022,Hocking,NATINC,-123.0
2023,Hocking,NATINC,-66.0
2010,Knox,NATINC,145.0
2011,Knox,NATINC,36.0
2012,Knox,NATINC,147.0
2013,Knox,NATINC,145.0
2014,Knox,NATINC,146.0
2015,Knox,NATINC,122.0
2016,Knox,NATINC,107.0
2017,Knox,NATINC,77.0
2018,Knox,NATINC,129.0
2019,Knox,NATINC,150.0
2020,Knox,NATINC,-53.0
2021,Knox,NATINC,-31.0
2022,Knox,NATINC,-18.0
2023,Knox,NATINC,-7.0
2010,Licking,NATINC,533.0
2011,Licking,NATINC,499.0
2012,Licking,NATINC,399.0
2013,Licking,NATINC,433.0
2014,Licking,NATINC,536.0
2015,Licking,NATINC,184.0
2016,Licking,NATINC,527.0
2017,Licking,NATINC,195.0
2018,Licking,NATINC,255.0
2019,Licking,NATINC,203.0
2020,Licking,NATINC,-105.0
2021,Licking,NATINC,-217.0
2022,Licking,NATINC,-96.0
2023,Licking,NATINC,-19.0
2010,Logan,NATINC,90.0
2011,Logan,NATINC,113.0
2012,Logan,NATINC,81.0
2013,Logan,NATINC,90.0
2014,Logan,NATINC,33.0
2015,Logan,NATINC,70.0
2016,Logan,NATINC,-2.0
2017,Logan,NATINC,29.0
2018,Logan,NATINC,57.0
2019,Logan,NATINC,32.0
2020,Logan,NATINC,-86.0
2021,Logan,NATINC,-83.0
2022,Logan,NATINC,-53.0
2023,Logan,NATINC,-39.0
2010,Madison,NATINC,36.0
2011,Madison,NATINC,59.0
2012,Madison,NATINC,19.0
2013,Madison,NATINC,25.0
2014,Madison,NATINC,54.0
2015,Madison,NATINC,-16.0
2016,Madison,NATINC,-34.0
2017,Madison,NATINC,0.0
2018,Madison,NATINC,26.0
2019,Madison,NATINC,21.0
2020,Madison,NATINC,-40.0
2021,Madison,NATINC,-132.0
2022,Madison,NATINC,17.0
2023,Madison,NATINC,-25.0
2010,Marion,NATINC,156.0
2011,Marion,NATINC,133.0
2012,Marion,NATINC,78.0
2013,Marion,NATINC,68.0
2014,Marion,NATINC,-24.0
2015,Marion,NATINC,-23.0
2016,Marion,NATINC,-24.0
2017,Marion,NATINC,-16.0
2018,Marion,NATINC,-53.0
2019,Marion,NATINC,-74.0
2020,Marion,NATINC,-159.0
2021,Marion,NATINC,-226.0
2022,Marion,NATINC,-135.0
2023,Marion,NATINC,-140.0
2010,Morrow,NATINC,85.0
2011,Morrow,NATINC,97.0
2012,Morrow,NATINC,100.0
2013,Morrow,NATINC,73.0
2014,Morrow,NATINC,59.0
2015,Morrow,NATINC,46.0
2016,Morrow,NATINC,36.0
2017,Morrow,NATINC,8.0
2018,Morrow,NATINC,84.0
2019,Morrow,NATINC,26.0
2020,Morrow,NATINC,-30.0
2021,Morrow,NATINC,-27.0
2022,Morrow,NATINC,-27.0
2023,Morrow,NATINC,37.0
2010,Perry,NATINC,130.0
2011,Perry,NATINC,94.0
2012,Perry,NATINC,50.0
2013,Perry,NATINC,134.0
2014,Perry,NATINC,65.0
2015,Perry,NATINC,116.0
2016,Perry,NATINC,48.0
2017,Perry,NATINC,54.0
2018,Perry,NATINC,48.0
2019,Perry,NATINC,22.0
2020,Perry,NATINC,-30.0
2021,Perry,NATINC,-116.0
2022,Perry,NATINC,-55.0
2023,Perry,NATINC,-30.0
2010,Pickaway,NATINC,132.0
2011,Pickaway,NATINC,63.0
2012,Pickaway,NATINC,96.0
2013,Pickaway,NATINC,90.0
2014,Pickaway,NATINC,112.0
2015,Pickaway,NATINC,67.0
2016,Pickaway,NATINC,1.0
2017,Pickaway,NATINC,-86.0
2018,Pickaway,NATINC,22.0
2019,Pickaway,NATINC,-56.0
2020,Pickaway,NATINC,-86.0
2021,Pickaway,NATINC,-145.0
2022,Pickaway,NATINC,-82.0
2023,Pickaway,NATINC,0.0
2010,Ross,NATINC,-11.0
2011,Ross,NATINC,56.0
2012,Ross,NATINC,-22.0
2013,Ross,NATINC,65.0
2014,Ross,NATINC,86.0
2015,Ross,NATINC,-23.0
2016,Ross,NATINC,-55.0
2017,Ross,NATINC,51.0
2018,Ross,NATINC,-56.0
2019,Ross,NATINC,-143.0
2020,Ross,NATINC,-350.0
2021,Ross,NATINC,-313.0
2022,Ross,NATINC,-430.0
2023,Ross,NATINC,-235.0
2010,Union,NATINC,279.0
2011,Union,NATINC,282.0
2012,Union,NATINC,250.0
2013,Union,NATINC,246.0
2014,Union,NATINC,278.0
2015,Union,NATINC,267.0
2016,Union,NATINC,300.0
2017,Union,NATINC,264.0
2018,Union,NATINC,288.0
2019,Union,NATINC,286.0
2020,Union,NATINC,207.0
2021,Union,NATINC,213.0
2022,Union,NATINC,179.0
2023,Union,NATINC,370.0
2010,15-County Region,NPOPCHG,17461.0
2011,15-County Region,NPOPCHG,19779.0
2012,15-County Region,NPOPCHG,19205.0
2013,15-County Region,NPOPCHG,26926.0
2014,15-County Region,NPOPCHG,27134.0
2015,15-County Region,NPOPCHG,25434.0
2016,15-County Region,NPOPCHG,23980.0
2017,15-County Region,NPOPCHG,30334.0
2018,15-County Region,NPOPCHG,21516.0
2019,15-County Region,NPOPCHG,17398.0
2020,15-County Region,NPOPCHG,8785.0
2021,15-County Region,NPOPCHG,4152.0
2022,15-County Region,NPOPCHG,17296.0
2023,15-County Region,NPOPCHG,18253.0
2010,Delaware,NPOPCHG,3655.0
2011,Delaware,NPOPCHG,3448.0
2012,Delaware,NPOPCHG,2494.0
2013,Delaware,NPOPCHG,4235.0
2014,Delaware,NPOPCHG,3959.0
2015,Delaware,NPOPCHG,3981.0
2016,Delaware,NPOPCHG,3676.0
2017,Delaware,NPOPCHG,3677.0
2018,Delaware,NPOPCHG,4167.0
2019,Delaware,NPOPCHG,4093.0
2020,Delaware,NPOPCHG,4067.0
2021,Delaware,NPOPCHG,6348.0
2022,Delaware,NPOPCHG,5247.0
2023,Delaware,NPOPCHG,4964.0
2010,Fairfield,NPOPCHG,918.0
2011,Fairfield,NPOPCHG,810.0
2012,Fairfield,NPOPCHG,54.0
2013,Fairfield,NPOPCHG,1518.0
2014,Fairfield,NPOPCHG,1538.0
2015,Fairfield,NPOPCHG,926.0
2016,Fairfield,NPOPCHG,1465.0
2017,Fairfield,NPOPCHG,1985.0
2018,Fairfield,NPOPCHG,1155.0
2019,Fairfield,NPOPCHG,1581.0
2020,Fairfield,NPOPCHG,2038.0
2021,Fairfield,NPOPCHG,1704.0
2022,Fairfield,NPOPCHG,1968.0
2023,Fairfield,NPOPCHG,2464.0
2010,Fayette,NPOPCHG,14.0
2011,Fayette,NPOPCHG,-145.0
2012,Fayette,NPOPCHG,-96.0
2013,Fayette,NPOPCHG,-64.0
2014,Fayette,NPOPCHG,-40.0
2015,Fayette,NPOPCHG,-30.0
2016,Fayette,NPOPCHG,34.0
2017,Fayette,NPOPCHG,-49.0
2018,Fayette,NPOPCHG,41.0
2019,Fayette,NPOPCHG,-233.0
2020,Fayette,NPOPCHG,58.0
2021,Fayette,NPOPCHG,-88.0
2022,Fayette,NPOPCHG,-40.0
2023,Fayette,NPOPCHG,-41.0
2010,Franklin,NPOPCHG,10617.0
2011,Franklin,NPOPCHG,14793.0
2012,Franklin,NPOPCHG,18339.0
2013,Franklin,NPOPCHG,20038.0
2014,Franklin,NPOPCHG,19363.0
2015,Franklin,NPOPCHG,19173.0
2016,Franklin,NPOPCHG,16941.0
2017,Franklin,NPOPCHG,20635.0
2018,Franklin,NPOPCHG,11754.0
2019,Franklin,NPOPCHG,8816.0
2020,Franklin,NPOPCHG,923.0
2021,Franklin,NPOPCHG,-6911.0
2022,Franklin,NPOPCHG,5996.0
2023,Franklin,NPOPCHG,3860.0
2010,Hocking,NPOPCHG,326.0
2011,Hocking,NPOPCHG,-24.0
2012,Hocking,NPOPCHG,-164.0
2013,Hocking,NPOPCHG,-671.0
2014,Hocking,NPOPCHG,81.0
2015,Hocking,NPOPCHG,-206.0
2016,Hocking,NPOPCHG,-144.0
2017,Hocking,NPOPCHG,61.0
2018,Hocking,NPOPCHG,-131.0
2019,Hocking,NPOPCHG,-81.0
2020,Hocking,NPOPCHG,-173.0
2021,Hocking,NPOPCHG,47.0
2022,Hocking,NPOPCHG,-239.0
2023,Hocking,NPOPCHG,-219.0
2010,Knox,NPOPCHG,517.0
2011,Knox,NPOPCHG,169.0
2012,Knox,NPOPCHG,-487.0
2013,Knox,NPOPCHG,127.0
2014,Knox,NPOPCHG,176.0
2015,Knox,NPOPCHG,-18.0
2016,Knox,NPOPCHG,-106.0
2017,Knox,NPOPCHG,383.0
2018,Knox,NPOPCHG,614.0
2019,Knox,NPOPCHG,464.0
2020,Knox,NPOPCHG,143.0
2021,Knox,NPOPCHG,-231.0
2022,Knox,NPOPCHG,666.0
2023,Knox,NPOPCHG,79.0
2010,Licking,NPOPCHG,941.0
2011,Licking,NPOPCHG,466.0
2012,Licking,NPOPCHG,405.0
2013,Licking,NPOPCHG,887.0
2014,Licking,NPOPCHG,1065.0
2015,Licking,NPOPCHG,1078.0
2016,Licking,NPOPCHG,1538.0
2017,Licking,NPOPCHG,1469.0
2018,Licking,NPOPCHG,1991.0
2019,Licking,NPOPCHG,1146.0
2020,Licking,NPOPCHG,723.0
2021,Licking,NPOPCHG,1124.0
2022,Licking,NPOPCHG,1906.0
2023,Licking,NPOPCHG,1414.0
2010,Logan,NPOPCHG,-230.0
2011,Logan,NPOPCHG,-143.0
2012,Logan,NPOPCHG,-216.0
2013,Logan,NPOPCHG,-10.0
2014,Logan,NPOPCHG,45.0
2015,Logan,NPOPCHG,-168.0
2016,Logan,NPOPCHG,-170.0
2017,Logan,NPOPCHG,117.0
2018,Logan,NPOPCHG,110.0
2019,Logan,NPOPCHG,324.0
2020,Logan,NPOPCHG,-342.0
2021,Logan,NPOPCHG,5.0
2022,Logan,NPOPCHG,-27.0
2023,Logan,NPOPCHG,-29.0
2010,Madison,NPOPCHG,156.0
2011,Madison,NPOPCHG,-316.0
2012,Madison,NPOPCHG,-161.0
2013,Madison,NPOPCHG,322.0
2014,Madison,NPOPCHG,711.0
2015,Madison,NPOPCHG,126.0
2016,Madison,NPOPCHG,-783.0
2017,Madison,NPOPCHG,672.0
2018,Madison,NPOPCHG,356.0
2019,Madison,NPOPCHG,316.0
2020,Madison,NPOPCHG,-52.0
2021,Madison,NPOPCHG,541.0
2022,Madison,NPOPCHG,-806.0
2023,Madison,NPOPCHG,1013.0
2010,Marion,NPOPCHG,-28.0
2011,Marion,NPOPCHG,90.0
2012,Marion,NPOPCHG,-324.0
2013,Marion,NPOPCHG,-312.0
2014,Marion,NPOPCHG,-259.0
2015,Marion,NPOPCHG,-352.0
2016,Marion,NPOPCHG,19.0
2017,Marion,NPOPCHG,-351.0
2018,Marion,NPOPCHG,296.0
2019,Marion,NPOPCHG,-410.0
2020,Marion,NPOPCHG,21.0
2021,Marion,NPOPCHG,-157.0
2022,Marion,NPOPCHG,-617.0
2023,Marion,NPOPCHG,219.0
2010,Morrow,NPOPCHG,-47.0
2011,Morrow,NPOPCHG,59.0
2012,Morrow,NPOPCHG,14.0
2013,Morrow,NPOPCHG,9.0
2014,Morrow,NPOPCHG,77.0
2015,Morrow,NPOPCHG,15.0
2016,Morrow,NPOPCHG,-25.0
2017,Morrow,NPOPCHG,-31.0
2018,Morrow,NPOPCHG,222.0
2019,Morrow,NPOPCHG,177.0
2020,Morrow,NPOPCHG,18.0
2021,Morrow,NPOPCHG,214.0
2022,Morrow,NPOPCHG,160.0
2023,Morrow,NPOPCHG,317.0
2010,Perry,NPOPCHG,118.0
2011,Perry,NPOPCHG,154.0
2012,Perry,NPOPCHG,-247.0
2013,Perry,NPOPCHG,33.0
2014,Perry,NPOPCHG,-68.0
2015,Perry,NPOPCHG,95.0
2016,Perry,NPOPCHG,-15.0
2017,Perry,NPOPCHG,-32.0
2018,Perry,NPOPCHG,51.0
2019,Perry,NPOPCHG,68.0
2020,Perry,NPOPCHG,58.0
2021,Perry,NPOPCHG,-42.0
2022,Perry,NPOPCHG,72.0
2023,Perry,NPOPCHG,103.0
2010,Pickaway,NPOPCHG,56.0
2011,Pickaway,NPOPCHG,181.0
2012,Pickaway,NPOPCHG,308.0
2013,Pickaway,NPOPCHG,148.0
2014,Pickaway,NPOPCHG,344.0
2015,Pickaway,NPOPCHG,222.0
2016,Pickaway,NPOPCHG,540.0
2017,Pickaway,NPOPCHG,168.0
2018,Pickaway,NPOPCHG,369.0
2019,Pickaway,NPOPCHG,310.0
2020,Pickaway,NPOPCHG,398.0
2021,Pickaway,NPOPCHG,55.0
2022,Pickaway,NPOPCHG,1258.0
2023,Pickaway,NPOPCHG,1155.0
2010,Ross,NPOPCHG,69.0
2011,Ross,NPOPCHG,-403.0
2012,Ross,NPOPCHG,-356.0
2013,Ross,NPOPCHG,31.0
2014,Ross,NPOPCHG,-247.0
2015,Ross,NPOPCHG,-11.0
2016,Ross,NPOPCHG,-196.0
2017,Ross,NPOPCHG,438.0
2018,Ross,NPOPCHG,-467.0
2019,Ross,NPOPCHG,-354.0
2020,Ross,NPOPCHG,-326.0
2021,Ross,NPOPCHG,-547.0
2022,Ross,NPOPCHG,12.0
2023,Ross,NPOPCHG,47.0
2010,Union,NPOPCHG,379.0
2011,Union,NPOPCHG,640.0
2012,Union,NPOPCHG,-358.0
2013,Union,NPOPCHG,635.0
2014,Union,NPOPCHG,389.0
2015,Union,NPOPCHG,603.0
2016,Union,NPOPCHG,1206.0
2017,Union,NPOPCHG,1192.0
2018,Union,NPOPCHG,988.0
2019,Union,NPOPCHG,1181.0
2020,Union,NPOPCHG,1231.0
2021,Union,NPOPCHG,2090.0
2022,Union,NPOPCHG,1740.0
2023,Union,NPOPCHG,2907.0
2010,15-County Region,RBIRTHS,13.596772224226704
2011,15-County Region,RBIRTHS,13.46377245793959
2012,15-County Region,RBIRTHS,13.505007487306624
2013,15-County Region,RBIRTHS,13.583779739770764
2014,15-County Region,RBIRTHS,13.487193614441557
2015,15-County Region,RBIRTHS,13.478617386362158
2016,15-County Region,RBIRTHS,13.228067494013002
2017,15-County Region,RBIRTHS,12.963229748396229
2018,15-County Region,RBIRTHS,12.70992574683406
2019,15-County Region,RBIRTHS,12.580038982749365
2020,15-County Region,RBIRTHS,11.88287137533822
2021,15-County Region,RBIRTHS,12.048028909004886
2022,15-County Region,RBIRTHS,11.9200105846417
2023,15-County Region,RBIRTHS,11.654932053888562
2010,Delaware,RBIRTHS,12.438677548129917
2011,Delaware,RBIRTHS,11.695185817906854
2012,Delaware,RBIRTHS,11.50573906706344
2013,Delaware,RBIRTHS,11.835149422807207
2014,Delaware,RBIRTHS,11.681798986486486
2015,Delaware,RBIRTHS,11.53621419817882
2016,Delaware,RBIRTHS,10.768778152010713
2017,Delaware,RBIRTHS,10.554089709762533
2018,Delaware,RBIRTHS,10.371006041220726
2019,Delaware,RBIRTHS,10.2640347648164
2020,Delaware,RBIRTHS,9.360214903841683
2021,Delaware,RBIRTHS,9.946583996890844
2022,Delaware,RBIRTHS,9.60596134660039
2023,Delaware,RBIRTHS,9.273169973579236
2010,Fairfield,RBIRTHS,11.21454475914682
2011,Fairfield,RBIRTHS,11.401470368407464
2012,Fairfield,RBIRTHS,11.11329861983286
2013,Fairfield,RBIRTHS,11.606494798247263
2014,Fairfield,RBIRTHS,10.62782654961426
2015,Fairfield,RBIRTHS,11.563330556547266
2016,Fairfield,RBIRTHS,10.989010989010987
2017,Fairfield,RBIRTHS,11.772235367130833
2018,Fairfield,RBIRTHS,11.020502365657576
2019,Fairfield,RBIRTHS,11.24551004607359
2020,Fairfield,RBIRTHS,10.298028197280615
2021,Fairfield,RBIRTHS,10.725207649696976
2022,Fairfield,RBIRTHS,10.696138835022952
2023,Fairfield,RBIRTHS,10.389453313981615
2010,Fayette,RBIRTHS,11.71848073343903
2011,Fayette,RBIRTHS,12.782762323760696
2012,Fayette,RBIRTHS,13.209580422011332
2013,Fayette,RBIRTHS,12.340514536707802
2014,Fayette,RBIRTHS,11.37870855148342
2015,Fayette,RBIRTHS,12.757331096431445
2016,Fayette,RBIRTHS,11.68468782699686
2017,Fayette,RBIRTHS,10.614895771500402
2018,Fayette,RBIRTHS,12.738631207901442
2019,Fayette,RBIRTHS,10.44697633654689
2020,Fayette,RBIRTHS,11.665228645383952
2021,Fayette,RBIRTHS,11.025091587751431
2022,Fayette,RBIRTHS,12.278024417314096
2023,Fayette,RBIRTHS,10.445223305687614
2010,Franklin,RBIRTHS,15.30695368383865
2011,Franklin,RBIRTHS,15.282859078590786
2012,Franklin,RBIRTHS,15.28716603630389
2013,Franklin,RBIRTHS,15.400228734951323
2014,Franklin,RBIRTHS,15.245945854281704
2015,Franklin,RBIRTHS,15.16161306074666
2016,Franklin,RBIRTHS,14.873082506179136
2017,Franklin,RBIRTHS,14.51165950089154
2018,Franklin,RBIRTHS,13.968056844929029
2019,Franklin,RBIRTHS,13.9357633456768
2020,Franklin,RBIRTHS,13.211611540264911
2021,Franklin,RBIRTHS,13.184083756279673
2022,Franklin,RBIRTHS,13.18347922798151
2023,Franklin,RBIRTHS,12.862134001174905
2010,Hocking,RBIRTHS,11.466178166768437
2011,Hocking,RBIRTHS,10.45272517477771
2012,Hocking,RBIRTHS,10.988260988260988
2013,Hocking,RBIRTHS,11.237915750532231
2014,Hocking,RBIRTHS,10.50690602929409
2015,Hocking,RBIRTHS,11.403508771929824
2016,Hocking,RBIRTHS,10.530764625083648
2017,Hocking,RBIRTHS,11.11267407511605
2018,Hocking,RBIRTHS,10.085693126917516
2019,Hocking,RBIRTHS,11.038777243136146
2020,Hocking,RBIRTHS,10.199714693295292
2021,Hocking,RBIRTHS,9.67937084089534
2022,Hocking,RBIRTHS,9.957581422100798
2023,Hocking,RBIRTHS,9.767610748002904
2010,Knox,RBIRTHS,12.16238336880013
2011,Knox,RBIRTHS,11.16133348563223
2012,Knox,RBIRTHS,12.688433941149365
2013,Knox,RBIRTHS,11.682934043182492
2014,Knox,RBIRTHS,11.62295081967213
2015,Knox,RBIRTHS,12.294880411796528
2016,Knox,RBIRTHS,12.625391978196983
2017,Knox,RBIRTHS,11.8000359060567
2018,Knox,RBIRTHS,12.568659127625205
2019,Knox,RBIRTHS,11.4726741760534
